Name of the element,Reference of the element,"Type of the element, ignoring UDET, truncated to 4 or 6 characters",Component spec reference,PIPE,Position,,Etemp,Ntemp,Ntemp
"GASKET 4 of BRANCH /BTRM-1000-10""-P1710042-66620M0-01/B1",=67132086/1476,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710042-66620M0-01",E 168200mm N 151796.8mm U 1336.5mm,,,,
17-VCH-20004,=67132086/1475,VALV,66620M0r01-GAS1/CHVF-250,"BTRM-1000-10""-P1710042-66620M0-01",E 168200mm N 151403.3mm U 1336.5mm,,,,
"GASKET 3 of BRANCH /BTRM-1000-10""-P1710042-66620M0-01/B1",=67132086/1474,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710042-66620M0-01",E 168200mm N 151006.6mm U 1336.5mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-10""-P1710042-66620M0-01/B1",=67132086/1473,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710042-66620M0-01",E 168200mm N 151006.6mm U 1336.5mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-10""-P1710042-66620M0-01/B1",=67132086/1472,ELBO,66620M0r01-GAS1/E90B-250,"BTRM-1000-10""-P1710042-66620M0-01",E 168200mm N 150466.6mm U 1336.5mm,,,,
ileave tube of /PS-171026.2,=67132086/1471,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710042-66620M0-01",E 167459.494mm N 150466.6mm U 1336.5mm,,,,
PS-171026.2,=67132086/1471,ATTA,MDS/AN578-250-PMP,"BTRM-1000-10""-P1710042-66620M0-01",E 167099.987mm N 150466.6mm U 1336.5mm,,,,
PS-171026.1,=67132086/1470,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710042-66620M0-01",E 167099.987mm N 150466.6mm U 1336.5mm,,,,
ileave tube of =67132086/1469,=67132086/1469,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710042-66620M0-01",E 166240.494mm N 150466.6mm U 1336.5mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-10""-P1710042-66620M0-01/B1",=67132086/1469,ELBO,66620M0r01-GAS1/E90B-250,"BTRM-1000-10""-P1710042-66620M0-01",E 165000mm N 150466.6mm U 1336.5mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-10""-P1710042-66620M0-01/B1",=67132086/1468,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710042-66620M0-01",E 165000mm N 151006.6mm U 1336.5mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-10""-P1710042-66620M0-01/B1",=67132086/1467,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710042-66620M0-01",E 165000mm N 151009.8mm U 1336.5mm,,,,
17-VBL-20041,=67132086/1466,VALV,66620M0r01-GAS1/BTFF-250,"BTRM-1000-10""-P1710042-66620M0-01",E 165000mm N 151403.3mm U 1336.5mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-10""-P1710042-66620M0-01/B1",=67132086/1465,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710042-66620M0-01",E 165000mm N 151800mm U 1336.5mm,,,,
"BTRM-1000-10""-P1710042-66620M0-01/B1",=67132086/1464,BRAN,,"BTRM-1000-10""-P1710042-66620M0-01",,,,,
"BTRM-1000-10""-P1710042-66620M0-01",=67132086/1463,PIPE,,"BTRM-1000-10""-P1710042-66620M0-01",,,,,
ileave tube of =67132086/1462,=67132086/1462,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-10""-P1710011-66620M0-01",E 152000mm N 159765.17mm U 1102.58mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-10""-P1710011-66620M0-01/B1",=67132086/1462,ELBO,66620M0r01-GAS1/E45B-200,"BTRM-1000-10""-P1710011-66620M0-01",E 152000mm N 159558.202mm U 1309.548mm,,,,
"REDUCER 1 of BRANCH /BTRM-1000-10""-P1710011-66620M0-01/B1",=67132086/1461,REDU,66620M0r01-GAS1/REEB-250x200,"BTRM-1000-10""-P1710011-66620M0-01",E 152000mm N 159253.202mm U 1336.498mm,,,,
ileave tube of /PS-171007.5,=67132086/1460,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710011-66620M0-01",E 152000mm N 158180.601mm U 1336.499mm,,,,
PS-171007.5,=67132086/1460,ATTA,MDS/AN578-250-PMP,"BTRM-1000-10""-P1710011-66620M0-01",E 152000mm N 157108mm U 1336.5mm,,,,
PS-171007.2,=67132086/1459,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710011-66620M0-01",E 152000mm N 157108mm U 1336.5mm,,,,
ileave tube of =67132086/1458,=67132086/1458,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710011-66620M0-01",E 152000mm N 156750.1mm U 1336.5mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-10""-P1710011-66620M0-01/B1",=67132086/1458,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710011-66620M0-01",E 152000mm N 156233.2mm U 1336.5mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-10""-P1710011-66620M0-01/B1",=67132086/1457,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710011-66620M0-01",E 152000mm N 156230mm U 1336.5mm,,,,
17-MOV-10003B,=67132086/1456,INST,SPCOM-INST-600#/MOVI-250,"BTRM-1000-10""-P1710011-66620M0-01",E 152000mm N 155836.5mm U 1336.5mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-10""-P1710011-66620M0-01/B1",=67132086/1455,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710011-66620M0-01",E 152000mm N 155439.8mm U 1336.5mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-10""-P1710011-66620M0-01/B1",=67132086/1454,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710011-66620M0-01",E 152000mm N 155439.8mm U 1336.5mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-10""-P1710011-66620M0-01/B1",=67132086/1453,ELBO,66620M0r01-GAS1/E90B-250,"BTRM-1000-10""-P1710011-66620M0-01",E 152000mm N 154899.8mm U 1336.5mm,,,,
"ileave tube of /BTRM-1000-10""-P1710011-66620M0-01/B1",=67132086/1452,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710011-66620M0-01",E 152682.5mm N 154899.8mm U 1336.5mm,,,,
"BTRM-1000-10""-P1710011-66620M0-01/B1",=67132086/1452,BRAN,,"BTRM-1000-10""-P1710011-66620M0-01",,,,,
"BTRM-1000-10""-P1710011-66620M0-01",=67132086/1451,PIPE,,"BTRM-1000-10""-P1710011-66620M0-01",,,,,
ileave tube of =67132086/1450,=67132086/1450,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-10""-P1710021-66620M0-01",E 157000mm N 159765.169mm U 1102.581mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-10""-P1710021-66620M0-01/B1",=67132086/1450,ELBO,66620M0r01-GAS1/E45B-200,"BTRM-1000-10""-P1710021-66620M0-01",E 157000mm N 159558.2mm U 1309.55mm,,,,
"REDUCER 1 of BRANCH /BTRM-1000-10""-P1710021-66620M0-01/B1",=67132086/1449,REDU,66620M0r01-GAS1/REEB-250x200,"BTRM-1000-10""-P1710021-66620M0-01",E 157000mm N 159253.2mm U 1336.5mm,,,,
ileave tube of /PS-171016.5,=67132086/1448,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710021-66620M0-01",E 157000mm N 158180.6mm U 1336.5mm,,,,
PS-171016.5,=67132086/1448,ATTA,MDS/AN578-250-PMP,"BTRM-1000-10""-P1710021-66620M0-01",E 157000mm N 157108mm U 1336.5mm,,,,
PS-171016.2,=67132086/1447,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710021-66620M0-01",E 157000mm N 157108mm U 1336.5mm,,,,
ileave tube of =67132086/1446,=67132086/1446,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710021-66620M0-01",E 157000mm N 156750.1mm U 1336.5mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-10""-P1710021-66620M0-01/B1",=67132086/1446,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710021-66620M0-01",E 157000mm N 156233.2mm U 1336.5mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-10""-P1710021-66620M0-01/B1",=67132086/1445,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710021-66620M0-01",E 157000mm N 156230mm U 1336.5mm,,,,
17-MOV-10004B,=67132086/1444,INST,SPCOM-INST-600#/MOVI-250,"BTRM-1000-10""-P1710021-66620M0-01",E 157000mm N 155836.5mm U 1336.5mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-10""-P1710021-66620M0-01/B1",=67132086/1443,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710021-66620M0-01",E 157000mm N 155439.8mm U 1336.5mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-10""-P1710021-66620M0-01/B1",=67132086/1442,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710021-66620M0-01",E 157000mm N 155439.8mm U 1336.5mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-10""-P1710021-66620M0-01/B1",=67132086/1441,ELBO,66620M0r01-GAS1/E90B-250,"BTRM-1000-10""-P1710021-66620M0-01",E 157000mm N 154899.8mm U 1336.5mm,,,,
"ileave tube of /BTRM-1000-10""-P1710021-66620M0-01/B1",=67132086/1440,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710021-66620M0-01",E 157682.5mm N 154899.8mm U 1336.5mm,,,,
"BTRM-1000-10""-P1710021-66620M0-01/B1",=67132086/1440,BRAN,,"BTRM-1000-10""-P1710021-66620M0-01",,,,,
"BTRM-1000-10""-P1710021-66620M0-01",=67132086/1439,PIPE,,"BTRM-1000-10""-P1710021-66620M0-01",,,,,
ileave tube of =67132086/1438,=67132086/1438,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-10""-P1710031-66620M0-01",E 162000mm N 159765.169mm U 1102.581mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-10""-P1710031-66620M0-01/B1",=67132086/1438,ELBO,66620M0r01-GAS1/E45B-200,"BTRM-1000-10""-P1710031-66620M0-01",E 162000mm N 159558.2mm U 1309.55mm,,,,
"REDUCER 1 of BRANCH /BTRM-1000-10""-P1710031-66620M0-01/B1",=67132086/1437,REDU,66620M0r01-GAS1/REEB-250x200,"BTRM-1000-10""-P1710031-66620M0-01",E 162000mm N 159253.2mm U 1336.5mm,,,,
ileave tube of /PS-171024.5,=67132086/1436,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710031-66620M0-01",E 162000mm N 158180.6mm U 1336.5mm,,,,
PS-171024.5,=67132086/1436,ATTA,MDS/AN578-250-PMP,"BTRM-1000-10""-P1710031-66620M0-01",E 162000mm N 157108mm U 1336.5mm,,,,
PS-171024.2,=67132086/1435,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710031-66620M0-01",E 162000mm N 157108mm U 1336.5mm,,,,
ileave tube of =67132086/1434,=67132086/1434,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710031-66620M0-01",E 162000mm N 156750.1mm U 1336.5mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-10""-P1710031-66620M0-01/B1",=67132086/1434,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710031-66620M0-01",E 162000mm N 156233.2mm U 1336.5mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-10""-P1710031-66620M0-01/B1",=67132086/1433,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710031-66620M0-01",E 162000mm N 156230mm U 1336.5mm,,,,
17-MOV-10005B,=67132086/1432,INST,SPCOM-INST-600#/MOVI-250,"BTRM-1000-10""-P1710031-66620M0-01",E 162000mm N 155836.5mm U 1336.5mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-10""-P1710031-66620M0-01/B1",=67132086/1431,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710031-66620M0-01",E 162000mm N 155439.8mm U 1336.5mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-10""-P1710031-66620M0-01/B1",=67132086/1430,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710031-66620M0-01",E 162000mm N 155439.8mm U 1336.5mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-10""-P1710031-66620M0-01/B1",=67132086/1429,ELBO,66620M0r01-GAS1/E90B-250,"BTRM-1000-10""-P1710031-66620M0-01",E 162000mm N 154899.8mm U 1336.5mm,,,,
"ileave tube of /BTRM-1000-10""-P1710031-66620M0-01/B1",=67132086/1428,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710031-66620M0-01",E 162682.5mm N 154899.8mm U 1336.5mm,,,,
"BTRM-1000-10""-P1710031-66620M0-01/B1",=67132086/1428,BRAN,,"BTRM-1000-10""-P1710031-66620M0-01",,,,,
"BTRM-1000-10""-P1710031-66620M0-01",=67132086/1427,PIPE,,"BTRM-1000-10""-P1710031-66620M0-01",,,,,
ileave tube of =67132086/1426,=67132086/1426,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-10""-P1710041-66620M0-01",E 166950mm N 159765.169mm U 1102.581mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-10""-P1710041-66620M0-01/B1",=67132086/1426,ELBO,66620M0r01-GAS1/E45B-200,"BTRM-1000-10""-P1710041-66620M0-01",E 166950mm N 159558.2mm U 1309.55mm,,,,
"REDUCER 1 of BRANCH /BTRM-1000-10""-P1710041-66620M0-01/B1",=67132086/1425,REDU,66620M0r01-GAS1/REEB-250x200,"BTRM-1000-10""-P1710041-66620M0-01",E 166950mm N 159253.2mm U 1336.5mm,,,,
ileave tube of /PS-171032.5,=67132086/1424,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710041-66620M0-01",E 166950mm N 158180.6mm U 1336.5mm,,,,
PS-171032.5,=67132086/1424,ATTA,MDS/AN578-250-PMP,"BTRM-1000-10""-P1710041-66620M0-01",E 166950mm N 157108mm U 1336.5mm,,,,
PS-171032.2,=67132086/1423,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710041-66620M0-01",E 166950mm N 157108mm U 1336.5mm,,,,
ileave tube of =67132086/1422,=67132086/1422,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710041-66620M0-01",E 166950mm N 156750.1mm U 1336.5mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-10""-P1710041-66620M0-01/B1",=67132086/1422,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710041-66620M0-01",E 166950mm N 156233.2mm U 1336.5mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-10""-P1710041-66620M0-01/B1",=67132086/1421,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710041-66620M0-01",E 166950mm N 156230mm U 1336.5mm,,,,
17-MOV-10006B,=67132086/1420,INST,SPCOM-INST-600#/MOVI-250,"BTRM-1000-10""-P1710041-66620M0-01",E 166950mm N 155836.5mm U 1336.5mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-10""-P1710041-66620M0-01/B1",=67132086/1419,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710041-66620M0-01",E 166950mm N 155439.8mm U 1336.5mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-10""-P1710041-66620M0-01/B1",=67132086/1418,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710041-66620M0-01",E 166950mm N 155439.8mm U 1336.5mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-10""-P1710041-66620M0-01/B1",=67132086/1417,ELBO,66620M0r01-GAS1/E90B-250,"BTRM-1000-10""-P1710041-66620M0-01",E 166950mm N 154899.8mm U 1336.5mm,,,,
"ileave tube of /BTRM-1000-10""-P1710041-66620M0-01/B1",=67132086/1416,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710041-66620M0-01",E 167657.5mm N 154899.8mm U 1336.5mm,,,,
"BTRM-1000-10""-P1710041-66620M0-01/B1",=67132086/1416,BRAN,,"BTRM-1000-10""-P1710041-66620M0-01",,,,,
"BTRM-1000-10""-P1710041-66620M0-01",=67132086/1415,PIPE,,"BTRM-1000-10""-P1710041-66620M0-01",,,,,
"GASKET 5 of BRANCH /BTRM-1000-8""-P1710044-66620M0-01/B1",=67132086/1414,GASK,66620M0r01-GAS1/GKSW-200,"BTRM-1000-8""-P1710044-66620M0-01",E 182174.993mm N 154867.2mm U 927.805mm,,,,
17-VBL-20015,=67132086/1413,VALV,66620M0r01-GAS1/BTRF-200,"BTRM-1000-8""-P1710044-66620M0-01",E 182174.993mm N 154537.2mm U 927.805mm,,,,
"GASKET 4 of BRANCH /BTRM-1000-8""-P1710044-66620M0-01/B1",=67132086/1412,GASK,66620M0r01-GAS1/GKSW-200,"BTRM-1000-8""-P1710044-66620M0-01",E 182174.993mm N 154204mm U 927.805mm,,,,
"PCOMPONENT 1 of BRANCH /BTRM-1000-8""-P1710044-66620M0-01/B1",=67132086/1411,PCOM,66620M0r01-GAS1/SPNF-200,"BTRM-1000-8""-P1710044-66620M0-01",E 182174.993mm N 154175.6mm U 927.805mm,,,,
"GASKET 3 of BRANCH /BTRM-1000-8""-P1710044-66620M0-01/B1",=67132086/1410,GASK,66620M0r01-GAS1/GKSW-200,"BTRM-1000-8""-P1710044-66620M0-01",E 182174.993mm N 154172.4mm U 927.805mm,,,,
"FLANGE 4 of BRANCH /BTRM-1000-8""-P1710044-66620M0-01/B1",=67132086/1409,FLAN,66620M0r01-GAS1/WNFL-200,"BTRM-1000-8""-P1710044-66620M0-01",E 182174.993mm N 154172.4mm U 927.805mm,,,,
ileave tube of /PS-171061.6,=67132086/1408,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710044-66620M0-01",E 182174.998mm N 153904.8mm U 927.805mm,,,,
PS-171061.6,=67132086/1408,ATTA,MDS/GT573-200-PMP,"BTRM-1000-8""-P1710044-66620M0-01",E 182175.003mm N 153777.2mm U 927.805mm,,,,
PS-171061.9,=67132086/1407,ATTA,MDS/AN578-200-PMP,"BTRM-1000-8""-P1710044-66620M0-01",E 182175.003mm N 153777.2mm U 927.805mm,,,,
PS-171061.4,=67132086/1406,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-P1710044-66620M0-01",E 182175.003mm N 153777.2mm U 927.805mm,,,,
ileave tube of /PS-171067.6,=67132086/1405,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710044-66620M0-01",E 182175.003mm N 151190.625mm U 927.805mm,,,,
PS-171067.6,=67132086/1405,ATTA,MDS/GT573-200-PMP,"BTRM-1000-8""-P1710044-66620M0-01",E 182175.003mm N 148604.05mm U 927.805mm,,,,
PS-171067.9,=67132086/1404,ATTA,MDS/AN578-200-PMP,"BTRM-1000-8""-P1710044-66620M0-01",E 182175.003mm N 148604.05mm U 927.805mm,,,,
PS-171067.4,=67132086/1403,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-P1710044-66620M0-01",E 182175.003mm N 148604.05mm U 927.805mm,,,,
ileave tube of =67132086/1402,=67132086/1402,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710044-66620M0-01",E 182175.003mm N 148332.726mm U 927.805mm,,,,
"FLANGE 3 of BRANCH /BTRM-1000-8""-P1710044-66620M0-01/B1",=67132086/1402,FLAN,66620M0r01-GAS1/WNFL-200,"BTRM-1000-8""-P1710044-66620M0-01",E 182175.003mm N 147921.402mm U 927.805mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-8""-P1710044-66620M0-01/B1",=67132086/1401,GASK,66620M0r01-GAS1/GKSW-200,"BTRM-1000-8""-P1710044-66620M0-01",E 182175.003mm N 147918.202mm U 927.805mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-8""-P1710044-66620M0-01/B1",=67132086/1400,FLAN,66620M0r01-GAS1/WNFL-200,"BTRM-1000-8""-P1710044-66620M0-01",E 182175.003mm N 147918.202mm U 927.805mm,,,,
ileave tube of =67132086/1399,=67132086/1399,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710044-66620M0-01",E 182175.003mm N 146986.202mm U 927.805mm,,,,
"REDUCER 1 of BRANCH /BTRM-1000-8""-P1710044-66620M0-01/B1",=67132086/1399,REDU,66620M0r01-GAS1/REEB-200x150,"BTRM-1000-8""-P1710044-66620M0-01",E 182175.003mm N 146194.202mm U 927.805mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-8""-P1710044-66620M0-01/B1",=67132086/1398,FLAN,66620M0r01-GAS1/WNFL-150,"BTRM-1000-8""-P1710044-66620M0-01",E 182175.003mm N 145918.202mm U 902.405mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-8""-P1710044-66620M0-01/B1",=67132086/1397,GASK,66620M0r01-GAS1/GKSW-150,"BTRM-1000-8""-P1710044-66620M0-01",E 182175.003mm N 145915.002mm U 902.405mm,,,,
"BTRM-1000-8""-P1710044-66620M0-01/B1",=67132086/1396,BRAN,,"BTRM-1000-8""-P1710044-66620M0-01",,,,,
"BTRM-1000-8""-P1710044-66620M0-01",=67132086/1395,PIPE,,"BTRM-1000-8""-P1710044-66620M0-01",,,,,
ileave tube of =67132086/1394,=67132086/1394,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710008-66620M0-01",E 185175mm N 158110.2mm U 927.8mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-8""-P1710008-66620M0-01/B1",=67132086/1394,ELBO,66620M0r01-GAS1/E90B-200,"BTRM-1000-8""-P1710008-66620M0-01",E 185175mm N 157305.2mm U 927.8mm,,,,
"FLANGE 3 of BRANCH /BTRM-1000-8""-P1710008-66620M0-01/B1",=67132086/1393,FLAN,66620M0r01-GAS1/WNFL-200,"BTRM-1000-8""-P1710008-66620M0-01",E 184730mm N 157305.2mm U 927.8mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-8""-P1710008-66620M0-01/B1",=67132086/1392,GASK,66620M0r01-GAS1/GKSW-200,"BTRM-1000-8""-P1710008-66620M0-01",E 184726.8mm N 157305.2mm U 927.8mm,,,,
17-VBL-20016,=67132086/1391,VALV,66620M0r01-GAS1/BTRF-200,"BTRM-1000-8""-P1710008-66620M0-01",E 184396.8mm N 157305.2mm U 927.8mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-8""-P1710008-66620M0-01/B1",=67132086/1390,GASK,66620M0r01-GAS1/GKSW-200,"BTRM-1000-8""-P1710008-66620M0-01",E 184063.6mm N 157305.2mm U 927.8mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-8""-P1710008-66620M0-01/B1",=67132086/1389,FLAN,66620M0r01-GAS1/WNFL-200,"BTRM-1000-8""-P1710008-66620M0-01",E 184063.6mm N 157305.2mm U 927.8mm,,,,
ileave tube of /PS-171058.2,=67132086/1388,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710008-66620M0-01",E 183736.82mm N 157305.2mm U 927.8mm,,,,
PS-171058.2,=67132086/1388,ATTA,MDS/AN578-200-PMP,"BTRM-1000-8""-P1710008-66620M0-01",E 183550.041mm N 157305.2mm U 927.8mm,,,,
PS-171058.1,=67132086/1387,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-P1710008-66620M0-01",E 183550.041mm N 157305.2mm U 927.8mm,,,,
ileave tube of =67132086/1386,=67132086/1386,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710008-66620M0-01",E 183015.017mm N 157305.2mm U 927.8mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-8""-P1710008-66620M0-01/B1",=67132086/1386,ELBO,66620M0r01-GAS1/E90B-200,"BTRM-1000-8""-P1710008-66620M0-01",E 182174.993mm N 157305.2mm U 927.8mm,,,,
ileave tube of /PS-171059.14,=67132086/1385,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710008-66620M0-01",E 182174.993mm N 156441.6mm U 927.802mm,,,,
PS-171059.14,=67132086/1385,ATTA,MDS/AN578-200-PMP,"BTRM-1000-8""-P1710008-66620M0-01",E 182174.993mm N 155883mm U 927.805mm,,,,
PS-171059.3,=67132086/1384,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-P1710008-66620M0-01",E 182174.993mm N 155883mm U 927.805mm,,,,
ileave tube of =67132086/1383,=67132086/1383,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710008-66620M0-01",E 182174.993mm N 155621.7mm U 927.805mm,,,,
"OLET 2 of BRANCH /BTRM-1000-8""-P1710008-66620M0-01/B1",=67132086/1383,OLET,66620M0r01-GAS1/BR3B-200x50,"BTRM-1000-8""-P1710008-66620M0-01",E 182174.993mm N 155360.4mm U 927.805mm,,,,
ileave tube of =67132086/1382,=67132086/1382,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710008-66620M0-01",E 182174.993mm N 155260.4mm U 927.805mm,,,,
"OLET 1 of BRANCH /BTRM-1000-8""-P1710008-66620M0-01/B1",=67132086/1382,OLET,66620M0r01-GAS1/BR3B-200x50,"BTRM-1000-8""-P1710008-66620M0-01",E 182174.993mm N 155160.4mm U 927.805mm,,,,
ileave tube of =67132086/1381,=67132086/1381,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710008-66620M0-01",E 182174.993mm N 155085.4mm U 927.805mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-8""-P1710008-66620M0-01/B1",=67132086/1381,FLAN,66620M0r01-GAS1/WNFL-200,"BTRM-1000-8""-P1710008-66620M0-01",E 182174.993mm N 154870.4mm U 927.805mm,,,,
"BTRM-1000-8""-P1710008-66620M0-01/B1",=67132086/1380,BRAN,,"BTRM-1000-8""-P1710008-66620M0-01",,,,,
"BTRM-1000-8""-P1710008-66620M0-01",=67132086/1379,PIPE,,"BTRM-1000-8""-P1710008-66620M0-01",,,,,
"FLANGE 2 of BRANCH /BTRM-1000-4""-P1710019-66620M0-01/B2",=67132086/1378,FLAN,66620M0r01-GAS1/WNFL-100,"BTRM-1000-4""-P1710019-66620M0-01",E 181425mm N 154533.8mm U 1214.198mm,,,,
"REDUCER 1 of BRANCH /BTRM-1000-4""-P1710019-66620M0-01/B2",=67132086/1377,REDU,66620M0r01-GAS1/RECB-100x50,"BTRM-1000-4""-P1710019-66620M0-01",E 181425mm N 154533.8mm U 1323.198mm,,,,
ileave tube of =67132086/1376,=67132086/1376,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-4""-P1710019-66620M0-01",E 181425mm N 154533.8mm U 1479.523mm,,,,
"ELBOW 4 of BRANCH /BTRM-1000-4""-P1710019-66620M0-01/B2",=67132086/1376,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-4""-P1710019-66620M0-01",E 181425mm N 154533.8mm U 1609.848mm,,,,
ileave tube of =67132086/1375,=67132086/1375,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-4""-P1710019-66620M0-01",E 181551mm N 154533.8mm U 1609.848mm,,,,
